Gene	average_expression	Freq	Gene_category	Proportion_zero
ENSDARG00000003200	0.33827727840294086	640	other	0.05558933379657778
ENSDARG00000003205	0.3032045285003538	428	other	0.03717536697646139
ENSDARG00000003206	0.38979046203512996	839	other	0.07287414227395118
ENSDARG00000003208	0.04980705079360313	118	other	0.010249283418744029
ENSDARG00000003213	1.0425191639037752	2	other	1.7371666811430558e-4
ENSDARG00000003216	1.1817175087810334	320	other	0.02779466689828889
ENSDARG00000003217	0.10475046272211962	50	other	0.004342916702857639
ENSDARG00000003235	0.6324223377704924	148	other	0.012855033440458612
ENSDARG00000003244	-0.18606467535802176	1018	other	0.08842178407018153
ENSDARG00000003257	0.08399774091044986	336	other	0.029184400243203335
ENSDARG00000003269	0.029047511111196554	17	other	0.0014765916789715972
ENSDARG00000003270	0.43681482134528127	678	other	0.05888995049074959
ENSDARG00000003281	0.8471660885661497	383	other	0.03326674194388952
ENSDARG00000003287	0.736412703621678	430	other	0.0373490836445757
ENSDARG00000003293	0.1660673954775482	3349	high zero count	0.29088856075740466
ENSDARG00000003307	0.7450540851658163	122	other	0.010596716754972639
ENSDARG00000003308	1.092420277388663	40	other	0.0034743333622861113
ENSDARG00000003311	1.0373588815993848	879	other	0.0763484756362373
ENSDARG00000003313	0.17418134721286616	535	other	0.04646920872057674
ENSDARG00000003320	0.0596353301757538	195	other	0.01693737514114479
ENSDARG00000003328	-0.08566002616719688	774	other	0.06722835056023625
ENSDARG00000003373	0.8215612577352109	169	other	0.01467905845565882
ENSDARG00000003375	0.9496874270339903	518	other	0.04499261704160514
ENSDARG00000003380	0.05009689769908154	492	other	0.04273430035611917
ENSDARG00000003382	0.501805538520317	37	other	0.003213758360114653
ENSDARG00000003383	0.4227476723032916	596	other	0.05176756709806306
ENSDARG00000003395	-0.3285263490925851	598	other	0.05194128376617736
ENSDARG00000003398	0.8151785097116783	18	other	0.00156345001302875
ENSDARG00000003399	0.08888191221280381	3142	high zero count	0.27290888560757404
ENSDARG00000003411	0.1759979074141291	1018	other	0.08842178407018153
ENSDARG00000003429	2.3062342204069814	8	other	6.948666724572223e-4
ENSDARG00000003446	0.01598834857429651	1873	high zero count	0.16268565968904716
ENSDARG00000003449	-0.017658127345262793	2519	high zero count	0.21879614348996787
ENSDARG00000003462	0.0164968748255222	3224	high zero count	0.2800312690002606
ENSDARG00000003469	0.23581760176368052	1001	other	0.08694519239120993
ENSDARG00000003486	1.6395002784866979	1	other	8.685833405715279e-5
ENSDARG00000003487	0.7817279347032472	2	other	1.7371666811430558e-4
ENSDARG00000003495	0.9955189790643652	30	other	0.0026057500217145837
ENSDARG00000003512	0.798896846070415	210	other	0.018240250152002084
ENSDARG00000003517	0.9889256886662298	1095	high zero count	0.0951098757925823
ENSDARG00000003519	0.22021804776244341	62	other	0.0053852167115434725
ENSDARG00000003520	0.10155528219005121	53	other	0.004603491705029098
ENSDARG00000003526	1.5712986216680558	26	other	0.0022583166854859725
ENSDARG00000003527	0.5677583396525393	56	other	0.004864066707200556
ENSDARG00000003531	1.4877613911829402	7	other	6.080083384000695e-4
ENSDARG00000003564	0.8203399958105749	55	other	0.004777208373143403
ENSDARG00000003570	1.2267796512429003	5	other	4.342916702857639e-4
ENSDARG00000003573	0.8547224351007358	495	other	0.04299487535829063
ENSDARG00000003584	0.4670904900357349	1402	high zero count	0.12177538434812821
ENSDARG00000003592	0.3967837884293362	832	other	0.07226613393555112
ENSDARG00000003607	0.939676050029593	38	other	0.0033006166941718057
ENSDARG00000003616	5.954551454184332e-4	64	other	0.005558933379657779
ENSDARG00000003631	0.11090146275641295	358	other	0.031095283592460696
ENSDARG00000003641	1.3735827242950225	16	other	0.0013897333449144446
ENSDARG00000003642	0.3953884088988864	3773	high zero count	0.32771649439763745
ENSDARG00000003655	0.9257734895585845	395	other	0.03430904195257535
ENSDARG00000003675	0.30055052992863496	290	other	0.02518891687657431
ENSDARG00000003680	0.15419571273964047	314	other	0.027273516893945974
ENSDARG00000003684	-0.2823469783840807	923	other	0.08017024233475202
ENSDARG00000003693	1.8759350996321884	23	other	0.001997741683314514
ENSDARG00000003695	1.4216220796175438	9	other	7.81725006514375e-4
ENSDARG00000003699	0.3888694098885106	74	other	0.006427516720229306
ENSDARG00000003705	1.5491245985554039	137	other	0.011899591765829932
ENSDARG00000003706	-0.15136728527780968	213	other	0.018500825154173544
ENSDARG00000003732	-0.06978485898258432	2496	high zero count	0.21679840180665336
ENSDARG00000003749	0.7127713372123583	60	other	0.005211500043429167
ENSDARG00000003750	0.6691788667665404	17	other	0.0014765916789715972
ENSDARG00000003751	0.343552772999889	91	other	0.007904108399200903
ENSDARG00000003754	0.6453646003896194	83	other	0.007209241726743681
ENSDARG00000003757	0.6173793428526242	727	other	0.06314600885955007
ENSDARG00000003769	0.1614910828991002	151	other	0.01311560844263007
ENSDARG00000003776	0.448301979480485	27	other	0.002345175019543125
ENSDARG00000003779	0.37670150870070884	240	other	0.02084600017371667
ENSDARG00000003789	1.1486626162138192	64	other	0.005558933379657779
ENSDARG00000003795	2.8423281131526044	6	other	5.211500043429167e-4
ENSDARG00000003797	0.18476749684039626	1640	high zero count	0.14244766785373056
